CPU Type,1. Total Simulation Time (Seconds),2. Total CPU Cycles (Cycles),3. IPC (Insts/Cycle),4. Total Instructions Committed (Count),5. Total Idle Cycles (Cycles),6. Total Instructions Issued (Count),7. Mean Issue Rate (Insts/Cycle),8. Max Issue Width (Count),9. Renaming Maps Committed (Count),10. Squashed Instructions Issued (Count)
x86MinorCPU (In-Order),0.000036,72.70,0.078597,5.71,55.07,5.71,0.078597,1.00,N/A,0.00
O3CPU (Out-of-Order),0.000021,41.36,0.137828,5.70,N/A (Not reported in O3 as a top-level stat),17.26,0.762142,8.00,17.53,33.00
